"Date","Temp (C)","Daily Prec (cm)","Daily ET (cm)","Daily Runoff (cm)","Daily Flow (cm)","Daily Flow (MGD)","Daily Pt Src Flow (cm)","Daily Flow (m^3)","TSS (kg)","TSS (mg/L)","TN (kg)","TN (mg/L)","TP (kg)","TP (mg/L)","PointN (kg)","SepticN (kg)","AnimalN (kg)","StreamN (kg)","UplandN (kg)","GroundN (kg)","TileDrainN (kg)","PointP (kg)","SepticP (kg)","AnimalP (kg)","StreamP (kg)","UplandP (kg)","GroundP (kg)","TileDrainP (kg)","Area (ha)"
" 1933-01-01",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132
" 1933-01-02",-3,0,0,0,.5181,1.8067,0,6838.447,8.8187,1.28957355843646,10.3827,1.51828557350322,.1214,1.77492768135508E-02,0,.4132950573252932447319075967,0,.0044093402279974791424510617,0,9.965011055999997927599999999,0,0,0,0,.0116825469340793262885626605,0,.1096949421744003523080000002,0,132
" 1933-01-03",-2,0,0,0,.487,1.6982,0,6427.9554,8.2893,1.28957355843646,9.7595,1.51828557350322,.1141,1.77492768135508E-02,0,.3884861859050720134808704878,0,.004144660665961730056694976,0,9.366841119999998052000000006,0,0,0,0,.0109812784344656087676703642,0,.1031102814880003311600000003,0,132
" 1933-01-04",-5,0,0,0,.4578,1.5964,0,6042.5421,7.7923,1.28957355843646,9.1743,1.51828557350322,.1073,1.77492768135508E-02,0,.3651929690089157449107649059,0,.0038961512379410267350204518,0,8.8052153279999981688,0,0,0,0,.0103228527049247550181509091,0,.0969278991072003113040000002,0,132
" 1933-01-05",-2,0,0,0,.4303,1.5005,0,5679.5672,7.3242,1.28957355843646,8.6232,1.51828557350322,.1008,1.77492768135508E-02,0,.3432558640553439166341243755,0,.0036621098245653643601557457,0,8.276286927999998278800000004,0,0,0,0,.0097027599801859372745966277,0,.0911054499472002926040000002,0,132
" 1933-01-06",-1,.2,0,0,.4045,1.4105,0,5339.0307,6.8851,1.28957355843646,8.1062,1.51828557350322,.0948,1.77492768135508E-02,0,.3226748710443565286509488959,0,.0034425364258347429321008579,0,7.7800559199999983820000000043,0,0,0,0,.0091210002602491555370075201,0,.0856429340080002750600000002,0,132
" 1933-01-07",-4,0,0,0,.3802,1.3258,0,5018.2929,6.4715,1.28957355843646,7.6192,1.51828557350322,.0891,1.77492768135508E-02,0,.3032904473944730585737719903,0,.0032357289223791576335840449,0,7.3126755519999984791999999954,0,0,0,0,.0085730637798435820399759188,0,.0804980062048002585360000001,0,132
" 1933-01-08",-3,0,0,0,.3574,1.2463,0,4717.3537,6.0834,1.28957355843646,7.1623,1.51828557350322,.0837,1.77492768135508E-02,0,.2851025931056935064025936599,0,.0030416873141986084646053068,0,6.8741458239999985704000000056,0,0,0,0,.0080589505389692167835018237,0,.0756706665376002430320000002,0,132
" 1933-01-09",-1,0,0,0,.336,1.1717,0,4434.8933,5.7191,1.28957355843646,6.7334,1.51828557350322,.0787,1.77492768135508E-02,0,.2680315368872776109436806648,0,.0028595605416080930165287719,0,6.4625433599999986559999999968,0,0,0,0,.0075764056549906458848814011,0,.0711397424640002284800000001,0,132
" 1933-01-10",-5,0,0,0,.3158,1.1012,0,4168.2717,5.3753,1.28957355843646,6.3286,1.51828557350322,.074,1.77492768135508E-02,0,.25191773615774484980956653,0,.002687646485237606472082697,0,6.0740214079999987368000000062,0,0,0,0,.0071209193626370415787069836,0,.0668628888992002147440000002,0,132
